ticker,timestamp,open,high,low,close,volume
AAPL,2024-01-02T00:00:00+00:00,185.9989,186.6714,184.9554,185.5181,75977446
AAPL,2024-01-03T00:00:00+00:00,186.4036,189.6557,185.8802,187.0976,79584962
AAPL,2024-01-04T00:00:00+00:00,187.6938,189.275,182.7123,183.704,61425470
AAPL,2024-01-05T00:00:00+00:00,182.6946,185.682,181.7412,184.4844,68532044
AAPL,2024-01-08T00:00:00+00:00,183.3807,185.9809,181.4734,182.2579,75450791
AAPL,2024-01-09T00:00:00+00:00,183.1636,185.7878,181.5971,184.6355,22024654
AAPL,2024-01-10T00:00:00+00:00,184.9295,186.4754,183.5073,184.7019,44289378
AAPL,2024-01-11T00:00:00+00:00,187.1559,188.121,180.8404,182.4668,78181523
AAPL,2024-01-12T00:00:00+00:00,181.1951,182.3414,179.5534,181.0966,56369922
AAPL,2024-01-15T00:00:00+00:00,179.8985,181.0538,178.8448,179.2407,69808242
AAPL,2024-01-16T00:00:00+00:00,181.8354,182.8162,177.9055,178.6227,43954423
AAPL,2024-01-17T00:00:00+00:00,178.6635,179.0384,175.2368,175.9849,56937938
AAPL,2024-01-18T00:00:00+00:00,173.1415,178.1062,172.3175,177.2366,43924875
AAPL,2024-01-19T00:00:00+00:00,176.4046,177.1131,175.8961,176.7097,67397527
AAPL,2024-01-22T00:00:00+00:00,175.8613,179.5463,175.6175,178.9199,68751294
AAPL,2024-01-23T00:00:00+00:00,178.8079,181.3464,177.5316,179.817,79302612
AAPL,2024-01-24T00:00:00+00:00,179.1265,180.2203,177.169,179.3596,63017793
AAPL,2024-01-25T00:00:00+00:00,179.1672,183.516,177.8056,181.804,72079452
AAPL,2024-01-26T00:00:00+00:00,182.3981,182.9468,180.6174,181.9358,53341198
AAPL,2024-01-29T00:00:00+00:00,182.4009,185.8776,180.1708,183.8636,48877502
AAPL,2024-01-30T00:00:00+00:00,184.4981,188.0961,182.418,187.2802,51998819
AAPL,2024-01-31T00:00:00+00:00,187.6596,188.7756,187.4279,188.1565,55779785
AAPL,2024-02-01T00:00:00+00:00,187.5003,193.8251,186.07,192.1494,49268083
AAPL,2024-02-02T00:00:00+00:00,193.2511,194.3771,185.2654,185.3652,55487550
