ticker,asset_name,date,open,high,low,close,volume
BNB,Binance Coin,2025-07-06,656.14,664.63,653.87,663.09,1387600565
BNB,Binance Coin,2025-07-07,663.09,663.23,657.11,661.02,1524912345
BNB,Binance Coin,2025-07-08,661.02,662.5,657.57,660.76,1517607542
BNB,Binance Coin,2025-07-09,660.76,670.79,659.6,669.15,1667011677
BNB,Binance Coin,2025-07-10,669.15,687.35,668.03,685.66,2023565748
BNB,Binance Coin,2025-07-11,685.66,696.87,683.85,689.87,2327541748
BNB,Binance Coin,2025-07-12,689.87,696.95,680.4,685.78,1715321874
BNB,Binance Coin,2025-07-13,685.78,694.01,685.47,692.23,1631603869
BNB,Binance Coin,2025-07-14,692.23,706.71,686.83,689.42,2362276526
BNB,Binance Coin,2025-07-15,689.42,692.94,675.88,689.92,2167202399
BNB,Binance Coin,2025-07-16,689.92,714.79,685.68,708.13,2298649454
BNB,Binance Coin,2025-07-17,708.13,726.66,707.89,721.21,2877681453
BNB,Binance Coin,2025-07-18,721.21,763.05,720.24,730.22,3407382999
BNB,Binance Coin,2025-07-19,730.26,742.33,721.09,733.53,2067691091
BNB,Binance Coin,2025-07-20,733.53,760.44,732.34,757.74,2353254456
BNB,Binance Coin,2025-07-21,757.74,780.97,747.56,766.78,2776231461
BNB,Binance Coin,2025-07-22,766.78,787.25,746.11,786.14,3009453883
BNB,Binance Coin,2025-07-23,786.14,809.31,753.78,776.64,3987433985
BNB,Binance Coin,2025-07-24,776.67,785.42,745.39,771.24,2833667773
BNB,Binance Coin,2025-07-25,771.24,785.64,753.61,785.61,2536046506
BNB,Binance Coin,2025-07-26,785.61,797.2,778.94,793.28,1760509145
BNB,Binance Coin,2025-07-27,793.28,846.22,792.66,843.26,2914460887
BNB,Binance Coin,2025-07-28,843.26,859.56,821.68,822.02,3448410233
BNB,Binance Coin,2025-07-29,822.08,834.46,800.64,804.9,3097306022
BNB,Binance Coin,2025-07-30,804.9,810.44,771.18,793.14,2836541071
BNB,Binance Coin,2025-07-31,793.14,813.01,782.83,783.67,2581137230
BNB,Binance Coin,2025-08-01,783.66,794.9,746.35,757.19,3061372565
BNB,Binance Coin,2025-08-02,757.22,769.56,732.53,736.65,2181365266
BNB,Binance Coin,2025-08-03,736.65,755.13,732.39,751.56,1761506433
BNB,Binance Coin,2025-08-04,751.56,769.56,750.84,769.06,1940596416
BNB,Binance Coin,2025-08-05,769.06,769.16,746.7,754.85,1951120762
BNB,Binance Coin,2025-08-06,754.85,774.8,747.73,769.85,1969112524
BNB,Binance Coin,2025-08-07,769.85,788.2,765.34,788.2,2162190917
BNB,Binance Coin,2025-08-08,788.2,797.89,781.47,793.44,2429517922
BNB,Binance Coin,2025-08-09,793.44,818.51,793.2,799.09,2215143664
BNB,Binance Coin,2025-08-10,799.09,815.07,796.27,805.87,2090904941
BNB,Binance Coin,2025-08-11,805.87,826.51,793.38,806.73,2805693912
BNB,Binance Coin,2025-08-12,806.74,838.86,798.66,832.93,2889217820
BNB,Binance Coin,2025-08-13,832.93,857.76,829.08,849.01,3364649534
BNB,Binance Coin,2025-08-14,849.01,868.68,826.0,840.93,4687490471
BNB,Binance Coin,2025-08-15,840.93,853.5,813.85,827.29,3843113557
BNB,Binance Coin,2025-08-16,827.29,839.52,826.61,839.4,1960223183
BNB,Binance Coin,2025-08-17,839.4,863.34,839.18,856.4,2286889646
